
                                Japan Solar Market to Move from Ground to Roof as Government Policy Changes                            		2014-11-14 10:16 

                                Chinese solar module exports to Southeast Asia surge                            		2014-11-07 14:40 

                                EU mulling anti-circumvention measures on Asian countries solar exports                            		2014-10-31 16:10 

                                Solar manufacturers vie for control of nascent N-type mono cell market                            		2014-10-27 17:57 

                                US anti-dumping, countervailing duties cast shadow over solar market                            		2014-10-17 10:10 

                                Chinese solar manufacturers buoyed by supportive government policies                            		2014-10-09 10:19 

                                China, Japan to fuel solar demand surge in fourth quarter                            		2014-10-03 14:20 

                                Profits to rise for high-efficiency cell producers                            		2014-09-26 9:46 

                                Taiwan, China solar firms boost overseas production                            		2014-09-19 14:08 

                                China issues new policy to boost distributed PV market                            		2014-09-12 10:47 

                                Photovoltaic Industry Sees Conflicting Market Trends                            		2014-09-05 10:48 

                                DuPont Ups Ante in Struggle with Samsung SDI, Pursues Litigation Against Main Competitor’s Customers                            		2014-08-29 9:39 

                                Change in US Anti-dumping Duty May Boost Capacity Utilization Rates of Taiwan Solar Firms                            		2014-08-22 9:15 

                                Price Quotes to Drop in 3Q14 due to Weak Momentum in PV Market                            		2014-08-14 17:38 

                                PV Thin-Film Makers Seize North America Market Share Due to the US-China Trade War                            		2014-08-08 9:17 

                                Demand for Chinese PV Makers Turns Weak as Preliminary Anti-Dumping Tax Rates Exceeded Expectation                            		2014-07-31 9:12 

                                Solar Product’s Prices and Transaction Modes Could be More Flexible Due to the Preliminary Rulings of Anti-dumping and Countervailing Duties                            		2014-07-25 18:07 

                                PV Wafer and Module Price Quotes Continue to Drop due to Strong Price Competition between Maker                            		2014-07-18 10:51 

                                Demand Uncertainty in July Adds Pressure on Wafer Makers                            		2014-07-11 10:46 

                                Japan Solar Makers to Look for Investment Partners as Japan Plans to Cancel Certain FIT Certifications for Solar Plant Facilities                            		2014-07-04 14:07 

                                SolarCity Completes Supply Chain Strategy with Silevo Acquisition                            		2014-06-26 20:13 

                                Taiwanese Manufacturers Tread Carefully When Expanding PV Module Capacity                            		2014-06-20 9:44 

                                Utilization Rates to Drop by the End of June, Long-Term Demand may Increase After Anti-Dumping Preliminary Verdict Announcements                            		2014-06-13 11:53 

                                US to Impose High Tariffs on Chinese PV Products, Taiwanese Manufacturers May Benefit                            		2014-06-06 9:13 

                                PV Manufacturers Focus on Strategy Deployment as Downstream Market Demand Continues to Increase                            		2014-05-30 18:16 

                                Stronger Demand to Mono-si Drives Capacity Expansions                            		2014-05-28 14:56 

                                Stronger Market Demand May Sustain PV Silicon Wafer’s Prices in 2Q                            		2014-05-15 18:00 

                                Wacker Benefits From EU-China Polysilicon Anti-Dumping and Countervailing Issues                            		2014-05-08 17:23 

                                Silicon Thin-Film Market Share to Fall in the Short Run with DuPont Thin-Film Production Shutdown                            		2014-05-02 18:57 

                                Slow Stock Clearance Rate Impacts PV Price Trend                            		2014-04-25 18:11 

                                PV Mono-Si Cell Demand May Increase Due to Bridged Price Gaps                            		2014-04-17 17:35 

                                Changes Within PV Market Leads to Lowered Prices in 2Q14                            		2014-04-10 16:16 

                                Significant Drop in PV Price Quotes Puts More Pressure onto Wafer Manufacturers                            		2014-04-03 18:11 

                                Wafer Price Decreases Due to Season Pre-Load and Weaker Demand                            		2014-03-29 12:16 

                                Japan’s Lowered PV Feed-in Tariff May Cause ROI Decrease 3-5%                            		2014-03-24 18:28 

                                PV Spot Price May Increase in Q2 Due to Process Delay on US-China Anti-dumping and Countervailing Investigation                            		2014-03-17 9:20 

                                Policies and Incentives Boost Australia’s Large-Scale Power Plant Demand                            		2014-03-08 11:15 

                                PV to Keep Up Demands in March; Short-term Price Surge but Decreased Volumes                            		2014-03-03 14:51 

                                Price Quotations of Upstream PV Products to Rise Despite Complicated Market Factors in March                            		2014-02-24 13:45 

                                US-China Trade War and the End of Japan’s Fiscal Year Lead to Taiwanese Manufacturers’ Low Sales Revenue in March                            		2014-02-17 10:04 

                                European Manufacturers to Maintain Market Share as China Temporarily Cancels Anti-Dumping and Countervailing Investigation on European Poly                            		2014-02-07 17:04 

                                PV Spot Price Continues to Increase in February, Anti-Dumping and Countervailing Result to be Announced in March                            		2014-01-27 11:01 

                                USA’s Anti-Dumping Investigation May affect Taiwanese Cell Manufacturers                            		2014-01-20 10:52 

                                Wafer Manufacturers to Achieve Outstanding Sales Performance in February due to Brightening Prospect                            		2014-01-10 10:58 

                                Cell Manufacturers May Revise Price Upward Due to Increased Raw Material Cost                            		2014-01-03 10:53 

                                Increased Roof-Top PV Market Penetration Rate May Affect Electricity Company Revenue                            		2013-12-28 9:13 

                                PV Spot Price Slowly Increases with US$20/kg Being the Polysilicon Ceiling Price in the Short Run                            		2013-12-25 17:27 

                                Polysilicon’s Market Momentum Continues, Suppliers to Increase Contractual Polysilicon Price                            		2013-12-15 8:37 

                                EU’s Anti-Dumping Tariffs on Chinese PV Solar Glass May Have Minimal Effect on PV Market                            		2013-12-10 11:05 

                                Wafer Manufacturers Re-Consider Contract Trading due to Supply Shortage and Increased Price                            		2013-11-28 10:09 

                                Japan to Revise PV Subsidy Downward, Investment in PV System Installation may Increase in the Short Run                            		2013-11-23 22:25 

                                New Era Approaches as Gross Margin and Quantity of Lithium Battery Decrease                            		2013-11-22 13:21 

                                Warning from GCL Leads to Polysilicon Shortage                            		2013-11-18 10:18 

                                Closing of Japanese Thin-Film Maker Soltec Raises Concern for Future Equipment and Technology Development                            		2013-11-11 10:59 

                                PV Manufacturers Initiate Expansion Plans                            		2013-11-01 11:19 

                                Growing Demand of PV Power Plants Leads to Increased Investment in PV Power Plants                            		2013-10-28 11:42 

                                Taiwanese PV Manufacturers Seize Opportunities in Monocrystalline Market as PV Self-Consumption Increases                            		2013-10-21 12:02 

                                Better Prospect in PV Market Leads to Increased Polysilicon Demand in 1Q14                            		2013-10-14 11:54 

                                IKEA to Sell Solar Modules, Distributed Market Opportunities Takeoff                            		2013-10-08 11:33 

                                Countervailing Duty Imposed on Chinese Imports of US Polysilicon May Have Limited Impact on Price                            		2013-09-27 11:19 

                                Japan’s Zero Nuclear Power Issue Triples PV Market Demand in 2013                            		2013-09-24 12:21 

                                Recent PV Policies Intensify Industrial Concentration in PV Market                            		2013-09-14 10:10 

                                Return-On-Investment Rate in Taiwan’s Domestic Market Decreases Sharply Due to Intense Competition                            		2013-09-09 12:35 

                                Wafer Manufacturers Plan to Raise Prices in Face of Growing Polysilicon Costs                            		2013-09-02 11:20 

                                Unsolved Financial Pressure and Over-Investment Doubt Lead to PV Subsidy Cut in Europe                            		2013-08-26 11:07 

                                The market share of diversified residential market may exceed 50% in 2015, high-efficiency products are becoming the trend in PV industry                            		2013-08-19 10:49 

                                Launch of EU-China new agreement leads to unpredictable PV price in the third quarter                            		2013-08-12 10:45 

                                Dawning of low profit era for lithium batteries as Chinese manufacturers scramble for market share                            		2013-08-04 10:40 

                                China Polysilicon Price Raise Causes Minor Fluctuations in Solar Energy Market                            		2013-08-04 10:21 

                                China’s solar anti-dumping actions have been activated; this week’s polysilicon price remains stable                            		2013-07-25 10:56 

                                The shipment for Chinese PV products account for 60% in the 1H13, future of European module manufacturing industry becomes unpredictable                            		2013-07-20 15:46 

                                Hoku announces bankruptcy; the future for small polysilicon factories seems gloomy                            		2013-07-15 10:17 

                                The market is yet to be observed with limited rise for spot price                            		2013-07-08 10:51 

                                With grace period for the anti-dumping and countervailing policy approaching, Chinese manufacturers accelerate shipment to alleviate inventory pressure                            		2013-06-29 22:57 

                                For Solar Energy Average Conversion Efficiency, Government Policy Should Remain the Focal Point for the Future                            		2013-06-24 10:44 

