date,title,link,article,cost_parsed
2010-04-02 14:50 ,"
                                Solar Panel Price                            ",https://www.energytrend.com/pricequotes/20100402-178.html,"


Solar Cell Price




EnergyTrend collects statistics of solar cell prices, which are published in the middle of a month, providing a market reference index for solar energy related enterprises, organizations and artificial persons.
	 
	In addition to monthly review of the average trading price from the last month, we will also predict the average prices for this and next months.  
	 
	The price information reflects real market volatility and is subject to change from time to time. All the data are for reference only. 



",
2010-05-20 16:46 ,"
                                EnergyTrend: Silicon Wafer Shortage Leads to Continuous Price Hike in 2Q                            ",https://www.energytrend.com/pricequotes/20100520-229.html,"


	Due to the increasing demand and the solar subsidy reduction in the German market, all silicon wafer makers have reached full production capacity at present.

	The research institute EnergyTrend says, in the future, as silicon wafer shortage continues and German government tends to cut the subsidy in the beginning of 2010Q3 , Q2 quotation will keep on rising, estimated up by 8.5% on quarterly base.


	According to the survey of EnergyTrend, the silicon wafer market quotes maintain uptrend, ranging from $3 to $3.2 per piece. The average price is $3.2, dropping slightly compared with 2009Q4.  
	Both the silicon wafer shortage and Q3 2010 subsidy cuts in Germany strengthen the restocking momentum in the third quarter of 2010, further boosting the silicon wafer price in the market.

	EnergyTrend estimates the quarterly growth rate of quotes up 8.5% in Q2. However, as the market demand will enter the low season in Q3, the average price for this quarter will remain nearly the same as that of Q2, even likely to have a tentative price fall and the quarterly growth rate is estimated between 0% and 1.5%.    
	 
	In regard to the price trend of polycrystalline silicon, because first-tier and emerging makers will ramp up production capacities in the 2H 2010, the oversupply will become more severe, prompting manufacturers to take a more aggressive quotation strategy.

	EnergyTrend believes polycrystalline silicon makers will face more price pressure than silicon wafer and solar cell makers. The polycrystalline silicon price will drop to $50/kg, quarterly price down by 10%. If the demand outlook doesn’t meet the expectation, the polycrystalline silicon makers may set a strategic price between $48 and $49 per kilogram in the early Q3 for major customers in order to ensure the shipment as expected.

",$50/
2010-05-20 17:20 ,"
                                Solar Cell Price Trend in 2Q10                            ",https://www.energytrend.com/pricequotes/20100520-230.html,"


	According to EnergyTrend’s survey, German government’s decision to cut solar subsidies from July 1st has instead prompted more advance orders; hence battery and module makers have reached full production capacity, leading to a continuous supply shortage. EnergyTrend also finds out in the survey that current cell market quotes still maintain uptrend.



	The price of the polycrystalline silicon solar energy cell ranges from $1.35/Wp to $1.55/Wp while the monocrystalline silicon solar energy cell prices are between €1.4/Wp and €1.6/Wp. And the average cell price is at $1.4/Wp. In terms of the price trend, the average price maintains $1.3/Wp in Q1 but drops about 5% from Q409. In the Q2 outlook, the price will continue to rise in April and May with an increase of 3%~5% each month but expected to grow by 3% in June. The Q2 average price is predicted to be $1.41/Wp, up 8.7% from Q1.


	On the other hand, due to the influence of the debt crisis in Eurozone, the foreign currency exchange risk heightens with widening fluctuations in recent exchange rates, so relevant makers currently make quotes based on the US dollar. Besides, although the Southern Europe has generated greatest solar energy demand apart from Germany, the credit problem across this region has aroused concerns about the whole market demand for the latter half of the year. Plus, the German reduction of solar subsidies from July 1st will affect the consumer’s purchase will of solar energy systems.

	In conclusion, EnergyTrend believes that the July demand will be slightly affected, resulting in a slim decline in cell prices.

",$1.35/
2010-07-15 17:17 ,"
                                EnergyTrend: Global Solar Energy Market Demand to Keep Growth in 3Q                            ",https://www.energytrend.com/pricequotes/20100715-374.html,"


	 


According to EnergyTrend, a research division of Trendforce Corp., the solar energy industry remains the buyer’s market in the short term, so the market demand will directly influence the industry growth. As the European market with feed-in tariff policies still takes up over 50% of the global market, EnergyTrend believes that global solar energy market will keep growth in 2010 Q3. 



The amended feed-in tariff scheme has been unanimously passed by German Federal Parliament. Based on the new plan, the 16% feed-in tariff reduction for the Rooftop System, which was supposed to take effect on July 1st, will be introduced into two phases: 13% decrease in the first phase from July 1st and another 3% decline in the second phase from October 1st. In addition to the mentioned system, the new policy also covers the Ground Mounted System and the Utility Market System. In the first phase, the feed-in tariff rates will drop 12% for the Ground Mounted System and 8% for the Utility Market System followed by 3% cuts for both systems in the second phase. 

In EnergyTrend’s opinion, as the new feed-in tariff scheme is less aggressive than the original one and it is in 4Q that the feed-in tariff will be reduced by 16%, 3Q installations will be promoted. EnergyTrend further estimates that the installation in German market can be lifted from 1.5GW~2GW to 2GW~2.5GW in 3Q. In view of 4Q installations, although part of the demand will advance into Q3, rush order effect will still occur under the impact of next year’s German feed-in tariff cuts. In this case, EnergyTrend predicts 4Q installations to be 0.6GW~0.8GW and 2H10 installations to be 2.6GW~3.3GW. Besides, according to EnergyTrend’s survey, German solar energy market shows a phenomenal growth in the first half of the year with installations estimated around 3GW. Hence, EnergyTrend has raised installations in 2010 German market to 5.5GW~6.3GW. 

Regarding the rapid growth of the 2010 German market, EnergyTrend considers it as negative for the short term development of global solar energy market. For instance, in 2008, the Spanish solar energy market expanded fast into 2.5GW but froze quickly in 2009. The great fluctuation of the single market demand plus the financial tsunami resulted into almost zero growth of the solar energy market in 1H 2009. 

According to EnergyTrend’s interviews, manufacturers think that the development of German market is unlikely to run out of control like the 2008 Spanish market. However, in light of further feed-in tariff cuts in Germany, Italy, Spain and France next year, they hold a conservative attitude toward the market demand for the first half of next year. 　

　

German Feed-in-tariff Policy Implementation Plan











System Type



System Size



Time and Amount(€ cent/perkWh)





　



　



2010.01.01



2010.07.01



2010.10.01



2011.01.01





Rooftop System 

(X)



X</= 30kw



39.14



34.05



33.03



30.39





30kw<X</=100kw



37.23



32.39



31.42



28.90





100kw<X</=1MW



35.32



30.73



29.81



27.42





1MW<X



29.37



25.55



24.79



22.80





Ground Mounted System



For all sizes



28.43



25.02



24.27



22.33





Utility Market System



For all sizes



28.43



26.16



25.37



23.34





Source: EEG, compiled by EnergyTrend; July 10, 2010

Ps. 8% reduction dating from Jan 1, 2011 is assumed

",
2010-10-12 18:14 ,"
                                Price of Solar Cells in 4Q10 is Estimated to Decrease by 8%-12% Due to Weak Demand and Climate Impact                            ",https://www.energytrend.com/pricequotes/20101012-593.html,"

Affected by the forecasted declining market demand in the first half of 2011 and the current severe cold weather in Europe, TrendForce, the research institute, indicates that the price of solar cells in the fourth quarter of 2010 may decrease by 8%-12% to $1.21/per Watt～$1.26/per Watt.
According to TrendForce’s survey, the average price quote of solar cells in September slightly declined by $0.01. However, the average price quote still remained at $1.43/per Watt in the third quarter of 2010. Besides, the capacity utilization rate has maintained at high level. It is forecasted that the profitability level may remain high.

	As for the outlook of solar cells in the fourth quarter of 2010, since the demand from the German market has started declining, the spot price in 1HOct arrived at $1.38/per Watt - $1.4/per Watt, declining by $0.02-0.04 MoM. In terms of the price quotation of December in 2010, the bid price from solar module manufacturers dropped to around $1.3/per Watt, reducing by 6%-7% compared to the current bid price. It is showed that module manufacturers took a conservative attitude towards the demand in the first half of 2011, which met TrendForce’s early forecast on the worldwide solar market demand in 2011.

Source：TrendForce, October 2010
In terms of the demand and supply of solar cells in the latter half of 2010, the demand still remained strong. However, the dates of shipments were mostly scheduled before the end of November, which caused the declining price in the fourth quarter in 2010. On the other hand, according to the latest weather forecast, influenced by anti-ENSO events, the severely cold weather in the European areas may occur. It is estimated that the opportunity of rush orders is low in Europe in December, and that is unfavorable for prices to increase.
TrendForce indicates that the price fluctuation of solar cells only limited to the transactions between solar cell manufacturers and module manufacturers at this stage. Hence, the price of wafers still remains the same, which is not affected by the declining transaction price for the downstream clients. If the pressure from the decreasing solar cell price continues to increase, the solar cell manufacturers are forced to reduce the prices of wafers and Poly-Si to reflect costs.

",$1.21/
2011-01-14 13:55 ,"
                                Solar PV Price decline in Jan, 2011                            ",https://www.energytrend.com/pricequotes/20110114-923.html,"


	With the advent of the traditional slow season, demand momentum has slowed down and the period of product clearing has been extended. Hence, EnergyTrend believes that continued price decline in the overall solar industry will be inevitable, and solar companies will likely face challenges in achieving profitability.


	In the Module segment, the current prices fell 1~2% compared to last week, but module makers indicated that demand momentum and the rate of product clearing has shown no apparent reversal, therefore, pressure to lower prices still exists. In the Cell segment, since customers continue to request price decrease, so prices have fallen below $ 1.2/per watt this week. Furthermore, some manufacturers are facing pressure from increased inventory levels, and in the short term, the continued declined of prices will inevitable, with quotation likely to be close to $ 1.1/per watt over the next few weeks. 

	For upstream Poly and Wafer, affected by the continued price reduction of their customers, Poly and Wafer manufacturers have also been asked to absorb some of the losses, therefore, Poly and Wafer prices also declined this week. However, according to information gathered from visiting Poly ans Wafer manufacturers, EnergyTrend noted that production capacity may still be tight in 2011, therefore, although prices may continue to decline, the fluctuations should be fairly moderate.
	In the silicon film segment, although price quotes are still adjusted according to price fluctuations of silicon modules, leading to the decline in prices of silicon film. Upon further analysis, the Nc-Si Nanocrystalline Silicon and A-Si Amorphus Silicon products differ slightly – for Nc-Si Nanocrystalline Silicon, as there is no significant increase in production capacity in the short term, and since Nc-Si Nanocrystalline Silicon is more efficient than traditional A-Si Amorphus Silicon, therefore, its contract price still maintained at $ 1.5/per watt. For A-Si Amorphus Silicon products however, due to low conversion efficiency and aggressive market competition, manufacturers face greater pressure on prices.
	According to EnergyTrend’s survey, currently, spot market price for A-Si Amorphus Siliconreached $ 1.23/per Watt.
	Looking ahead, EnergyTrend noted that prices may continue to decline before the Chinese New Year, but in late February, market demand momentum is expected rebound, and potentially stabilize the price decline.

",
2011-01-20 16:21 ,"
                                TrendForce: The Latest Solar Price Survey                            ",https://www.energytrend.com/pricequotes/20110120-947.html,"

January 20, 2011 --- According to a price survey conducted by EnergyTrend, a research division of TrendForce Corp., solar spot prices slightly decreased this week. The decreasing scale is within 1%, a number smaller than last week. It is also considered to be approaching the bottom price for manufacturers. Yet, EnergyTrend believes that within a few weeks the price may stabilize if there is no major market catalyst.
The average quotation of cells also dropped from $1.2/Watt to $1.19/Watt, while the module declined slightly to $1.59/Watt. The average price of poly silicon reached $69.5/Kg and wafer reached $3.59/Piece. On the other hand, thin film price remained stable and concentrator PV and solar Inverter fell slightly.
Looking forward at the future, German government is considering making further adjustments on subsidy policy in mid 2011, which might lead to a surge in demand for installation in Q1 and Q2, 2011. However, the bill is still pending and thus EnergyTrend believes that the market condition may gradually become clear in the end of February.

",$1.2/
2011-01-26 18:12 ,"
                                TrendForce: The Latest Solar Price Survey                            ",https://www.energytrend.com/pricequotes/20110126-969.html,"

January 26, 2011 --- According to the latest weekly price survey conducted by EnergyTrend, a research institute of TrendForce Corp., solar spot prices remained unchanged this week. Though some cell manufacturers offered $1.1/Watt in an attempt to probe the market sentiment, trading prices still are as high as $1.15/Watt. Based on the observation, EnergyTrend believes that it signals the price stabilization.
This week’s survey showed that the average quotation of cells is on the downtrend with a slight drop of 0.17% to $1.188/Watt, while the module declined slightly 0.31%. The average price of poly silicon wafer reached $69/Kg , a 0.31% decline from last week. Mono silicon wafer declined 0.11%. On the other hand, prices of thin film, concentrator PV and solar Inverter remained stable.
Looking forward at the future, because Chinese government is imposing limitations on mining poly silicon, it would be highly impossible to see dramatic drop in the price of poly silicon. From perspectives of supply and demand, it is estimated that the global annual installation will be 15.5GW~18GW for 2011. EnergyTrend believes that the market will hardly see demand exceeding supply in 2011 and thus the price range for poly silicon should be $75/Kg~$60/Kg.

",$1.1/
2011-02-02 21:55 ,"
                                TrendForce: The Latest Solar Price Survey                            ",https://www.energytrend.com/pricequotes/20110202-992.html,"

February 01, 2011 --- According to the latest weekly price survey conducted by EnergyTrend, a research institute of TrendForce Corp., solar cell spot prices rebounded slightly this week. Some cell manufacturers offered $1.15/Watt in an unsustainable fashion. The upward price trend may become clear later after the Chinese New Year holiday.
This week’s survey showed that the average quotation of cells rebounded slightly after touching $1.15/Watt at the current price of $1.17/Watt. The increase was only 0.08%. On the other hand, price of module remained unchanged. However, manufacturers of modules said there might be clear upside momentum after the Chinese New Year holiday. As for the prices of upstream poly silicon, the survey showed the prices dropped by 0.14%, unaffected by Chinese government’s imposition of mining cap. Though the wafer market heard bid price of $3.4/piece, the trading price was still above $3.45/piece. Yet, the price of wafer is still on a downward but smoother trend. The decrease was 0.25%. Manufacturers pointed out that the price has bottomed and buyers of wafer are losing power to negotiate the contract price.
According to EnergyTrend, production lines of major suppliers are currently booked through February and some companies are not able to accept more orders because of full utilization rate. These companies stressed that they are not affected by the change of German government’s policies toward the solar industry. It is estimated that they will not pull in production schedule until March. Moreover, because companies will start to settle contract prices after the Chinese New Year, with the increased demand, EnergyTrend estimates that the contract prices will show obvious rebounding effort.

",$1.15/
2011-02-10 18:04 ,"
                                TrendForce: The Latest Solar Price Survey                            ",https://www.energytrend.com/pricequotes/20110210-1014.html,"

February 09, 2011 --- According to the latest weekly price survey conducted by EnergyTrend, a research institute of TrendForce Corp., solar cell spot prices continued to increase, which many manufacturers viewed as a signal for price rebound. Contract prices for March orders are still under negotiation and the estimated price range is $1.3/Watt~$1.25/Watt.
This week’s survey showed solar cell spot prices increased by 2.36% to $1.21/Watt. Module price simultaneously rose by 1.64% as well. In terms of wafer, the trading price is over $3.5/Watt. On the other hand, average price quotation of poly silicon wafer increased by 1.18%, and mono silicon wafer rose by 2.09%. As for poly silicon, average price came back to $70/kg, a 2.47% increase.
Average prices of thin film, concentrator PV and solar Inverter showed a downward trend. According to EnergyTrend, current price of thin film reached $1.3/Watt. Notably some manufacturers offered ask prices as low as $1.2/Watt in India and Thailand where many are faced with severe price competition. In European market however, thin film price is relatively stable. As for solar inverters, the supply is sufficient and it takes about one month after placing an order to receive the shipment. The average price maintained at $0.29/Watt, dipping by 1.02%.
Moreover, Germany has announced its policy adjustments; the subsidy cut will be no more than 15%. It is expected to see companies start pulling in production schedules in 2Q. Though growth rate in 2Q is not experiencing any signs of slow down as previouly expected as a result of the policy adjustments, it remains unclear as to whether the German market will show earlier demand realization in the first half of 2011. In addition, installation cap is not included as previous market rumors had expected. EnergyTrend expects to see such policy imposition in Germany in 2012.

",$1.3/
